chembl_molecule_id,smiles,molregno,pref_name,max_phase,therapeutic_flag,dosed_ingredient,structure_type,chebi_par_id,molecule_type,first_approval,oral,parenteral,topical,black_box_warning,natural_product,first_in_class,chirality,prodrug,inorganic_flag,usan_year,availability_type,usan_stem,polymer_flag,usan_substem,usan_stem_definition,indication_class,withdrawn_flag,chemical_probe,orphan,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score
CHEMBL1200542,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,674493,DESOXYCORTICOSTERONE ACETATE,4.0,1,1,MOL,34671.0,Small molecule,1939.0,0,1,0,0,1,0,1,0,0,,0.0,-cort-; -ster-; -terone,0,-cort-; -ster-; -terone,"cortisone derivatives; steroids (androgens, anabolics); antiandrogens",Adrenocortical Steroid (salt-regulating),0,0,0,372.51,4.27,4.0,0.0,60.44,3.0,N,0.0,,,3.77,3.77,NEUTRAL,372.51,0.0,27.0,0.69,372.2301,C23H32O4,4.0,0.0,0.0,1.96
CHEMBL1200728,Cl.N=C(N)N,674679,GUANIDINE HYDROCHLORIDE,4.0,1,1,MOL,32735.0,Small molecule,1939.0,1,0,0,0,0,0,2,0,0,,1.0,guan-,0,guan-,antihypertensives (guanidine derivatives),,0,0,0,59.07,-1.16,1.0,3.0,75.89,0.0,N,0.0,,12.55,-1.24,-3.65,BASE,95.53,0.0,4.0,0.24,59.0483,CH6ClN3,3.0,5.0,0.0,0.32
CHEMBL1200982,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],674933,BUTABARBITAL SODIUM,4.0,1,1,MOL,,Small molecule,1939.0,1,0,0,0,0,0,0,0,0,,1.0,-barb-,0,-barb-,barbituric acid derivatives,Sedative-Hypnotic,0,0,0,212.25,0.79,3.0,2.0,75.27,3.0,N,0.0,7.48,,1.45,1.19,NEUTRAL,234.23,0.0,15.0,0.68,212.1161,C10H15N2NaO3,5.0,2.0,0.0,0.32
CHEMBL3989520,NCCc1c[nH]cn1.O=P(O)(O)O.O=P(O)(O)O,2197391,HISTAMINE PHOSPHATE,4.0,1,1,MOL,,Small molecule,1939.0,0,1,0,1,0,0,2,0,0,,0.0,,0,,,,0,0,0,111.15,-0.09,2.0,2.0,54.70,2.0,Y,0.0,,9.58,-0.70,-2.85,BASE,307.14,1.0,8.0,0.56,111.0796,C5H15N3O8P2,3.0,3.0,0.0,0.00
CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,2393,BUTABARBITAL,4.0,1,0,MOL,3228.0,Small molecule,1939.0,1,0,0,0,1,0,0,0,0,,1.0,-barb-,0,-barb-,barbituric acid derivatives,Sedative-Hypnotic,0,0,0,212.25,0.79,3.0,2.0,75.27,3.0,N,0.0,7.48,,1.45,1.19,NEUTRAL,212.25,0.0,15.0,0.68,212.1161,C10H16N2O3,5.0,2.0,0.0,0.32
CHEMBL700,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,32842,SULFAPYRIDINE,4.0,1,1,MOL,132842.0,Small molecule,1939.0,1,0,0,0,1,0,2,0,0,,0.0,sulfa-,0,sulfa-,antimicrobials (sulfonamides derivatives),Suppressant (dermatitis herpetiformis),0,0,0,249.30,1.46,4.0,2.0,85.08,3.0,N,0.0,6.24,2.14,1.01,0.24,ACID,249.30,2.0,17.0,0.81,249.0572,C11H11N3O2S,5.0,3.0,0.0,-1.63
CHEMBL821,N=C(N)N,56752,GUANIDINE,4.0,1,0,MOL,42820.0,Small molecule,1939.0,1,0,0,0,1,0,2,0,0,,1.0,guan-,0,guan-,antihypertensives (guanidine derivatives),,0,0,0,59.07,-1.16,1.0,3.0,75.89,0.0,N,0.0,,12.55,-1.24,-3.65,BASE,59.07,0.0,4.0,0.24,59.0483,CH5N3,3.0,5.0,0.0,0.32
CHEMBL90,NCCc1c[nH]cn1,8910,HISTAMINE,4.0,1,0,MOL,18295.0,Small molecule,1939.0,0,1,0,1,1,0,2,0,0,1988.0,0.0,,0,,,Stimulant (gastric secretory),0,0,0,111.15,-0.09,2.0,2.0,54.70,2.0,Y,0.0,,9.58,-0.70,-2.85,BASE,111.15,1.0,8.0,0.56,111.0796,C5H9N3,3.0,3.0,0.0,0.00
CHEMBL1370561,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,794445,AMINOPHYLLINE,4.0,1,1,MOL,,Small molecule,1940.0,1,1,1,0,0,0,2,0,0,,1.0,,0,,,Relaxant (smooth muscle),0,0,0,180.17,-1.04,5.0,1.0,72.68,0.0,N,0.0,7.82,,-0.77,-0.89,NEUTRAL,420.43,2.0,13.0,0.56,180.0647,C16H24N10O4,6.0,1.0,0.0,-0.75
CHEMBL190,Cn1c(=O)c2[nH]cnc2n(C)c1=O,381693,THEOPHYLLINE,4.0,1,1,MOL,28177.0,Small molecule,1940.0,1,1,1,0,1,0,2,0,0,1964.0,1.0,,0,,,"Bronchodilator,Diuretic; Relaxant (smooth muscle),Relaxant (smooth muscle)",0,0,0,180.17,-1.04,5.0,1.0,72.68,0.0,N,0.0,7.82,,-0.77,-0.89,NEUTRAL,180.17,2.0,13.0,0.56,180.0647,C7H8N4O2,6.0,1.0,0.0,-0.75
